"","CONGLOMERADO","NSELUA","N_PARCELAS","SUPERFICIE_TOTAL_HECT."
"1023","01753","00077",4,6.85
"1024","01753","00094",2,2
"1025","01753","00098",1,0.75
"1026","01753","00112",2,3
"1027","01753","00118",1,4
"1028","01753","00134",1,2
"1029","01753","00143",1,2.5
"1030","01754","00002",1,0.8
"1031","01754","00007",1,0.01
"1032","01754","00016",2,0.73
"1033","01754","00018",2,1.72
"1034","01754","00030",2,2.64
"1035","01754","00033",2,1.75
"1036","01754","00043",4,1
"1037","01754","00049",1,3.2
"1038","01754","00060",1,12
"1039","01754","00066",1,0.41
"1040","01754","00080",3,3.75
"1041","01754","00082",1,0.28
"1042","01754","00090",2,1.09
"1043","01759","00004",3,12.6
"1044","01759","00007",1,1
"1045","01759","00022",2,1.8
"1046","01759","00030",1,0.75
"1047","01759","00041",1,0.105
"1048","01759","00050",2,2.75
"1049","01759","00068",2,0.83
"1050","01759","00078",6,6.8
"1051","01759","00090",1,0.004
"1052","01759","00093",1,0.5
"1053","01759","00111",1,0.77
"1054","01759","00120",1,0.4
"1055","01759","00132",1,0.096
"1056","01759","00134",1,2.5
"1057","01760","00028",2,2.5
"1058","01760","00033",1,0.5
"1059","01760","00035",2,1
"1060","01760","00041",2,2
"1061","01760","00050",1,0.4
"1062","01760","00055",1,6
"1063","01760","00062",1,8.5
"1064","01760","00069",1,2
"1065","01760","00075",1,2.25
"1066","01760","00078",2,0.6
"1067","01760","00079",1,6
"1068","01760","00081",1,15
"1069","01760","00092",1,0.25
"1070","01760","00098",1,0.5
"1071","01761","00011",2,3.3
"1072","01761","00030",2,2.79
"1073","01761","00040",3,5.05
"1074","01761","00069",1,1.6
"1075","01761","00084",1,1
"1076","01761","00122",1,6.4
"1077","01761","00123",1,2.5
"1078","01761","00125",1,1.75
"1079","01761","00142",1,0.5
"1080","01784","00001",6,3.55
"1081","01784","00009",3,3.3
"1082","01784","00014",2,1.5
"1083","01784","00022",1,0.3
"1084","01784","00026",1,0.3
"1085","01784","00035",7,4.575
"1086","01784","00039",1,0.3
"1087","01784","00046",2,5.5
"1088","01784","00050",3,1
"1089","01784","00053",1,0.26
"1090","01784","00054",1,0.3
"1091","01784","00061",1,0.6
"1092","01784","00065",1,6
"1093","01790","00005",4,1.15
"1094","01790","00014",2,1
"1095","01790","00022",1,0.08
"1096","01790","00026",1,0.25
"1097","01790","00031",1,0.2
"1098","01790","00041",2,1.5
"1099","01790","00050",1,0.1
"1100","01790","00061",1,0.21
"1101","01790","00063",2,0.5
"1102","01790","00083",3,1.15
"1103","01790","00089",1,0.54
"1104","01790","00090",1,0.2
"1105","01790","00099",2,3.5
"1106","01806","00010",2,1.9
"1107","01806","00034",3,15
"1108","01806","00037",2,3
"1109","01806","00041",1,0.39
"1110","01806","00055",1,0.55
"1111","01806","00067",1,6
"1112","01806","00076",1,0.2
"1113","01806","00090",1,3.5
"1114","01806","00093",1,1
"1115","01806","00103",1,2
"1116","01806","00106",2,7
"1117","01806","00107",1,5.19
"1118","01806","00123",3,9.7
